station_id,station_name,location,state,asd_no,asd_name,timezone,latitude,longitude,elevation_ft,elevation_m,date_est
33,Jamestown 10W,"Jamestown, ND",North Dakota,50,ND-C,America/Chicago,46.90669,-98.92778,1636,498,1990-04-24
233,Jud 1S,"Jud, ND",North Dakota,90,ND-SE,America/Chicago,46.51509,-98.8918,1728,526,2025-05-22
59,Karlsruhe 2N,"Karlsruhe, ND",North Dakota,20,ND-NC,America/Chicago,48.12217,-100.62569,1552,473,2001-08-19
153,Keene 5SW,"Keene, ND",North Dakota,40,ND-WC,America/Chicago,47.89372,-103.04803,2348,715,2023-01-01
105,Kempton 6SE,"Kempton, ND",North Dakota,30,ND-NE,America/Chicago,47.78041,-97.49431,1100,335,2018-05-04
82,Kennedy 6W,"Kennedy, MN",Minnesota,10,MN-NW,America/Chicago,48.63667,-97.04094,801,244,2013-05-28
34,Langdon 1E,"Langdon, ND",North Dakota,30,ND-NE,America/Chicago,48.75989,-98.34458,1633,497,1990-04-04
198,Lefor 10SE,"Lefor, ND",North Dakota,70,ND-SW,America/Denver,46.58835,-102.38507,2563,781,2023-08-02
72,Leonard 5N,"Leonard, ND",North Dakota,60,ND-EC,America/Chicago,46.72939,-97.28348,952,290,2002-11-08
135,Liberty 5E,"Liberty, ND",North Dakota,10,ND-NW,America/Chicago,47.91442,-102.21597,2044,623,2019-06-27
35,Linton 5NW,"Linton, ND",North Dakota,80,ND-SC,America/Chicago,46.32716,-100.28146,1973,601,1993-01-01
76,Lisbon 2W,"Lisbon, ND",North Dakota,90,ND-SE,America/Chicago,46.44473,-97.72105,1222,372,2006-05-17
120,Little Falls 6SE,"Little Falls, MN",Minnesota,50,MN-C,America/Chicago,45.93214,-94.25144,1109,338,2018-06-15
230,Little Missouri,"Little Missouri, ND",North Dakota,40,ND-WC,America/Denver,47.55736,-102.75673,2436,742,2025-04-30
209,Livona 5S,"Livona, ND",North Dakota,80,ND-SC,America/Chicago,46.43594,-100.56771,1691,515,2024-05-22
141,Logan Center 2E,"Logan Center, ND",North Dakota,30,ND-NE,America/Chicago,47.80258,-97.77438,1357,413,2019-07-24
109,Maddock 2N,"Maddock, ND",North Dakota,20,ND-NC,America/Chicago,47.99178,-99.53329,1614,491,2018-05-16
36,Mandan 4S,"Mandan, ND",North Dakota,80,ND-SC,America/North_Dakota/New_Salem,46.77356,-100.91401,1935,589,1999-06-24
207,Manning 4SW,"Manning, ND",North Dakota,40,ND-WC,America/Denver,47.1925,-102.8325,2442,744,2024-04-25
79,Marion 2S,"Marion, ND",North Dakota,90,ND-SE,America/Chicago,46.56453,-98.32759,1465,446,2007-05-02
193,Marmarth 2N,"Marmarth, ND",North Dakota,70,ND-SW,America/Denver,46.32271,-103.93737,2840,865,2023-06-14
71,Mavie 3WSW,"Mavie, MN",Minnesota,10,MN-NW,America/Chicago,48.12115,-95.97144,1158,352,2002-10-19
212,Max 3N,"Max, ND",North Dakota,10,ND-NW,America/Chicago,47.87,-101.314722,2190,667,2024-06-18
37,Mayville 2E,"Mayville, ND",North Dakota,60,ND-EC,America/Chicago,47.49846,-97.26178,966,294,1995-05-08
38,McHenry 8N,"McHenry, ND",North Dakota,50,ND-C,America/Chicago,47.68494,-98.62346,1658,505,1995-08-14
189,McKenzie 2E,"McKenzie, ND",North Dakota,80,ND-SC,America/Chicago,46.82221,-100.38346,1759,536,2023-09-13
130,Medicine Hole 9NW,"Medicine Hole, ND",North Dakota,40,ND-WC,America/Denver,47.55994,-102.99209,2546,776,2019-06-26
73,Michigan 2W,"Michigan, ND",North Dakota,30,ND-NE,America/Chicago,48.01947,-98.17213,1521,463,2003-06-25
188,Milnor 1S,"Milnor, ND",North Dakota,90,ND-SE,America/Chicago,46.24106,-97.45705,1126,343,2023-05-01
40,Minot 4S,"Minot, ND",North Dakota,10,ND-NW,America/Chicago,48.18043,-101.30797,1768,538,1990-04-24
41,Mohall 1W,"Mohall, ND",North Dakota,10,ND-NW,America/Chicago,48.76384,-101.53363,1642,500,1993-07-29
54,Mooreton 3SW,"Mooreton, ND",North Dakota,90,ND-SE,America/Chicago,46.22509,-96.89536,983,299,1990-07-18
228,Morris 1E,"Morris, MN",Minnesota,40,MN-WC,America/Chicago,45.5901,-95.8745,1145,348,2024-10-30
69,Mott 1N,"Mott, ND",North Dakota,70,ND-SW,America/Denver,46.37979,-102.32195,2443,744,2002-09-17
235,Murdock,"Murdock, MN",Minnesota,40,MN-WC,America/Chicago,45.22569,-95.40371,1079,328,2025-05-29
194,New England 5W,"New England, ND",North Dakota,70,ND-SW,America/Denver,46.52645,-102.96803,2718,828,2023-06-15
145,New Hradec 6NW,"New Hradec, ND",North Dakota,40,ND-WC,America/Denver,47.06771,-102.94821,2572,783,2023-01-01
214,New Salem 6SE,"New Salem, ND",North Dakota,80,ND-SC,America/North_Dakota/New_Salem,46.7677778,-101.341944,2190,667,2024-06-27
113,Niles 3SE,"Niles, ND",North Dakota,20,ND-NC,America/Chicago,48.24831,-99.32927,1525,464,2018-09-12
128,Noonan 9S,"Noonan, ND",North Dakota,10,ND-NW,America/Chicago,48.74974,-103.00602,2399,731,2019-05-06
43,Oakes 4S,"Oakes, ND",North Dakota,90,ND-SE,America/Chicago,46.06672,-98.10281,1302,396,1990-04-24
103,Ottertail 1SW,"Ottertail, MN",Minnesota,40,MN-WC,America/Chicago,46.41095,-95.57431,1356,413,2018-02-27
171,Palermo 8N,"Palermo, ND",North Dakota,10,ND-NW,America/Chicago,48.48079,-102.21163,2276,693,2023-01-01
116,Parkers Prairie 2NW,"Parkers Prairie, MN",Minnesota,40,MN-WC,America/Chicago,46.16941,-95.35602,1470,448,2018-05-22
196,Peace Garden,"Peace Garden, ND",North Dakota,20,ND-NC,America/Chicago,48.99821,-100.06389,2265,690,2023-07-20
88,Pekin 2NE,"Pekin, ND",North Dakota,30,ND-NE,America/Chicago,47.80764,-98.31067,1506,459,2015-05-21
114,Perham 2NW,"Perham, MN",Minnesota,40,MN-WC,America/Chicago,46.61049,-95.60188,1375,419,2018-06-05
3,Perley 6E,"Perley, MN",Minnesota,10,MN-NW,America/Chicago,47.17992,-96.68974,882,268,1995-02-02
163,Perth 7E,"Perth, ND",North Dakota,30,ND-NE,America/Chicago,48.71833,-99.30675,1596,486,2021-03-30
200,Pick City 8SW,"Pick City, ND",North Dakota,40,ND-WC,America/North_Dakota/Beulah,47.47477,-101.61245,2045,623,2023-08-09
216,Pickardville 6SW,"Pickardville, ND",North Dakota,50,ND-C,America/Chicago,47.41536,-100.67296,1898,578,2024-07-17
64,Pillsbury 1N,"Pillsbury, ND",North Dakota,60,ND-EC,America/Chicago,47.22536,-97.79121,1287,392,2001-10-30
115,Pine Point 2N,"Pine Point, MN",Minnesota,10,MN-NW,America/Chicago,47.01272,-95.37151,1564,476,2018-06-05
168,Pioneer,"Pioneer, ND",North Dakota,10,ND-NW,America/Chicago,48.25598,-103.90634,2308,703,2023-01-01
67,Plaza 10S,"Plaza, ND",North Dakota,10,ND-NW,America/Chicago,47.86224,-101.95765,2117,645,2002-05-08
175,Poker Jim,"Poker Jim, ND",North Dakota,40,ND-WC,America/Denver,47.50252,-103.65588,2084,635,2023-01-01
146,Portal 1SE,"Portal, ND",North Dakota,10,ND-NW,America/Chicago,48.98128,-102.52419,1950,594,2023-01-01
170,Powers Lake 6SE,"Powers Lake, ND",North Dakota,10,ND-NW,America/Chicago,48.484167,-102.560834,2298,700,2023-01-01
197,Pretty Rock 2E,"Pretty Rock, ND",North Dakota,80,ND-SC,America/Denver,46.15995,-101.77054,2522,768,2023-08-02
44,Prosper 5NW,"Prosper, ND",North Dakota,60,ND-EC,America/Chicago,47.00168,-97.11556,923,281,1990-04-24
206,Pyramid Park,"Pyramid Park, ND",North Dakota,70,ND-SW,America/Denver,46.78167,-103.35833,2620,798,2024-04-23
133,Rat Lake 4NW,"Rat Lake, ND",North Dakota,10,ND-NW,America/Chicago,48.19696,-102.69861,2304,702,2019-06-25
106,Ray 4N,"Ray, ND",North Dakota,10,ND-NW,America/Chicago,48.40095,-103.16926,2316,705,2018-05-08
100,Redstone 5E,"Redstone, MT",Montana,30,MT-NE,America/Denver,48.82451,-104.84179,2400,731,2017-04-12
121,Rice 4NW,"Rice, MN",Minnesota,50,MN-C,America/Chicago,45.79384,-94.26182,1079,328,2018-06-14
45,Robinson 3NNW,"Robinson, ND",North Dakota,50,ND-C,America/Chicago,47.17305,-99.79807,1805,550,1993-07-14
46,Rolla 2S,"Rolla, ND",North Dakota,20,ND-NC,America/Chicago,48.84299,-99.61409,1810,551,1996-06-01
61,Roseau 11S,"Roseau, MN",Minnesota,10,MN-NW,America/Chicago,48.68518,-95.73438,1096,334,2001-10-19
66,Ross 4E,"Ross, ND",North Dakota,10,ND-NW,America/Chicago,48.31277,-102.45039,2316,705,2002-05-03
181,Rothsay 2W,"Rothsay, MN",Minnesota,40,MN-WC,America/Chicago,46.47129,-96.32263,1138,346,2023-01-01
74,Rugby 3W,"Rugby, ND",North Dakota,20,ND-NC,America/Chicago,48.35444,-100.06363,1525,464,2003-10-08
213,Ryder 9NE,"Ryder, ND",North Dakota,10,ND-NW,America/Chicago,47.985261,-101.50893,2050,624,2024-06-19
60,Sabin 2NE,"Sabin, MN",Minnesota,10,MN-NW,America/Chicago,46.79741,-96.61182,919,280,2001-10-18
199,Sanger 1S,"Sanger, ND",North Dakota,40,ND-WC,America/North_Dakota/Center,47.16689,-100.98906,1705,519,2023-08-08
125,Sawyer 7S,"Sawyer, ND",North Dakota,10,ND-NW,America/Chicago,47.97811,-101.08942,1875,571,2019-05-01
52,Schafer 2W,"Schafer, ND",North Dakota,40,ND-WC,America/Chicago,47.81043,-103.23218,2141,652,1993-01-01
176,Sentinel Butte 10N,"Sentinel Butte, ND",North Dakota,70,ND-SW,America/Denver,47.06694,-103.79333,2727,831,2023-01-01
177,Shell Lake 2SE,"Shell Lake, ND",North Dakota,10,ND-NW,America/Chicago,48.15001,-102.07275,2058,627,2023-01-01
8,Sidney 1NW,"Sidney, MT",Montana,30,MT-NE,America/Denver,47.72983,-104.15242,1931,588,1995-01-01
180,Skogmo 3N,"Skogmo, ND",North Dakota,50,ND-C,America/Chicago,47.74669,-100.43135,1715,522,2023-01-01
204,Sonora 1E,"Sonora, ND",North Dakota,90,ND-SE,America/Chicago,46.06562,-96.72093,984,299,2023-10-04
47,St. Thomas 2WSW,"St. Thomas, ND",North Dakota,30,ND-NE,America/Chicago,48.60123,-97.49328,865,263,1994-05-23
221,Stanley 8SW,"Stanley, ND",North Dakota,10,ND-NW,America/Chicago,48.1962,-102.4652,2341,713,2024-08-27
122,Staples 2N,"Staples, MN",Minnesota,50,MN-C,America/Chicago,46.38774,-94.80874,1285,391,2018-06-12
108,Steele 5NW,"Steele, ND",North Dakota,50,ND-C,America/Chicago,46.89402,-99.99273,1862,567,2018-05-11
5,Stephen 1NE,"Stephen, MN",Minnesota,10,MN-NW,America/Chicago,48.45674,-96.85367,834,254,1994-04-24
152,Stirum 3W,"Stirum, ND",North Dakota,90,ND-SE,America/Chicago,46.22351,-97.87161,1316,401,2021-03-30
48,Streeter 6NW,"Streeter, ND",North Dakota,50,ND-C,America/Chicago,46.71797,-99.46081,1944,592,1990-04-24
151,Sully Springs,"Sully Springs, ND",North Dakota,70,ND-SW,America/Denver,46.87071,-103.38968,2581,786,2023-01-01
147,Sunny Slope 3W,"Sunny Slope, ND",North Dakota,70,ND-SW,America/Denver,46.16482,-103.88864,2783,848,2023-01-01
68,Tappen 3E,"Tappen, ND",North Dakota,50,ND-C,America/Chicago,46.88554,-99.57505,1833,558,2002-04-30
169,Tioga 7NW,"Tioga, ND",North Dakota,10,ND-NW,America/Chicago,48.49668,-102.99434,2350,716,2023-01-01
50,Turtle Lake 4N,"Turtle Lake, ND",North Dakota,40,ND-WC,America/Chicago,47.56793,-100.91529,1911,582,1993-01-19
91,Ulen 7ESE,"Ulen, MN",Minnesota,10,MN-NW,America/Chicago,47.05044,-96.10842,1196,364,2015-10-20
182,Underwood 1NW,"Underwood, MN",Minnesota,40,MN-WC,America/Chicago,46.30309,-95.88352,1352,412,2023-01-01
117,Wadena 4W,"Wadena, MN",Minnesota,40,MN-WC,America/Chicago,46.44831,-95.21421,1366,416,2018-05-22
63,Wahpeton 6N,"Wahpeton, ND",North Dakota,90,ND-SE,America/Chicago,46.35507,-96.66585,955,291,2001-10-18
150,Wales 1W,"Wales, ND",North Dakota,30,ND-NE,America/Chicago,48.89141,-98.62842,1563,476,2021-03-30
6,Warren 6SW,"Warren, MN",Minnesota,10,MN-NW,America/Chicago,48.13689,-96.83904,839,255,1995-05-19
231,Watford City 3SW,"Watford City, ND",North Dakota,40,ND-WC,America/Chicago,47.7793,-103.3468,2180,664,2025-05-01
92,Waukon 3S,"Waukon, MN",Minnesota,10,MN-NW,America/Chicago,47.32581,-96.13258,1146,349,2015-10-20
112,Webster 1N,"Webster, ND",North Dakota,30,ND-NE,America/Chicago,48.29643,-98.87868,1468,447,2018-06-27
131,Werner 6N,"Werner, ND",North Dakota,40,ND-WC,America/Denver,47.44446,-102.50014,2276,693,2019-06-24
123,Westport,"Westport, MN",Minnesota,40,MN-WC,America/Chicago,45.715089999999996,-95.17179,1344,409,2018-10-12
95,Williams 6N,"Williams, MN",Minnesota,20,MN-NC,America/Chicago,48.85841,-94.98082,1093,333,2016-08-02
53,Williston 5SW,"Williston, ND",North Dakota,10,ND-NW,America/Chicago,48.13308,-103.73859,2091,637,1990-04-24
234,Willmar 2SW,"Willmar, MN",Minnesota,50,MN-C,America/Chicago,45.09607,-95.1057,1111,338,2025-05-29
203,Willow City 4E,"Willow City, ND",North Dakota,20,ND-NC,America/Chicago,48.60221,-100.21158,1475,449,2023-09-29
190,Wing 8N,"Wing, ND",North Dakota,80,ND-SC,America/Chicago,47.27177,-100.33025,1973,601,2023-05-01
208,Wirch 7NW,"Wirch, ND",North Dakota,90,ND-SE,America/Chicago,46.14316,-99.06591,1971,600,2024-05-07
57,Wishek 5W,"Wishek, ND",North Dakota,90,ND-SE,America/Chicago,46.26033,-99.66585,2219,676,2001-07-06
149,Wolford 4E,"Wolford, ND",North Dakota,20,ND-NC,America/Chicago,48.51603,-99.62441,1610,490,2021-03-30
148,Wolverton 2E,"Wolverton, MN",Minnesota,40,MN-WC,America/Chicago,46.56545,-96.68726,937,285,2021-03-30
202,Ypsilanti 2E,"Ypsilanti, ND",North Dakota,50,ND-C,America/Chicago,46.77638,-98.52323,1484,452,2023-09-25
215,Zap 11N,"Zap, ND",North Dakota,40,ND-WC,America/North_Dakota/Beulah,47.43673,-101.97136,2188,666,2024-07-16
